,Review,Departments
2745,good quality improved ,Product Quality
2746,nice product written bead came beads,Product Quality
2747,selling double price everytime,Sales
2748,disappointed not work not good quality,Product Quality
2749,medical product received dark incomplete instructions documentation essential clear comprehensive instructions proper usage safety precautions lack attention detail reflect poorly seller ,"Product Quality, Shipping"
2750,send wrong number asking replied not returnable pathetic ,Shipping
2751,received seems good early share results update use ,"Shipping, Technical Support"
2752,box would not work no matter tried called apple teach support confirmed defective advised take nearest apple store replacement since one year warranty wrong apple would not honor one year warranty drove nearest apple store explain noted apple teach support sent replacement told no apple would not honor warranty products purchased amazon not waste money apple products spent last five months apple desktop pad phone is max airport pro apple pencil trouble every piece requiring least eighteen calls teach support hours hours wasted time enormous frustration get products work apple gone straight toilet ever since steve jobs passed away seriously considering returning every item can get refund going samson replacement samson smartphone performed fearlessly intuitively ever since got four years ago not required single call teach support apple fancy years last five months frustration wasted time energy not anymore lost loyal customer apple looks like time sell stock experience last five months not portend well company going forward ,"Customer Service, Product Quality, Sales"
2753,highly disappointed,General
2754,low quality,Product Quality
2755,beset handfree received time not get free gift ,Shipping
2756,want tu return ,General
2757,quality good except sent incorrect sizes,Product Quality
2758,stock sold seems old stir not back ,General
2759,using months decent sound boasted bass not great good price can recommend ,Sales
2760,charge flat sucks hate hard tip buy silicone case tip take every single day charge thing multiple times day not apple make rubberized tip also bought two pencils could use one charging hope one pencil allowed time ridiculously overpriced around dumb mio ,Sales
2761,wrong size disappointed time,General
2762,color football faded one day quality not good returned not get refund yet service slow cannot imagine football not suggest ball try another football not thermal molded play ball turn white color one week original color quick start faded quality not good enough,"Customer Service, Product Quality, Shipping"
2763,colour little bit pinkish instead red shown overall good ,General
2764,not buy toy poor quality would not fit either try something lot size can find better fit not recommended ,"Product Quality, Sales"
2765,low cheap quality mid sa away boot those at ha ply deliver right things log a log to pure pass data a log no product data ho sham ,Product Quality
2766,not good no form shmapoo,General
2767,got five potatoes less usual g fine otherwise though no rotten cut pus ,General
2768,bad quality,Product Quality
2769,ordered blue color received one mirrors lights broken quality not good fine careful purchase,"Customer Service, Product Quality, Shipping, Sales"
2770,opened box no pen missing pus assist never issue ,Technical Support
2771,packing awesome brush harsh foam soft,General
2772,worst product ever strongly recommend not purchase first low battery timing hours box charge pads time within week dead no charging anymore not able use would not charge anymore,"Product Quality, Sales"
2773,made mind not purchase anything axis not dark co last time purchased perfume not perfume rather bottle full water dark promised assured not happen axis not time ordered gone hands free one side not working forced say dark platform people robbed name dark ,"Product Quality, Sales"
2774,received bags week ago little bit dissatisfied quality bags fabric sticking poor ,"Product Quality, Shipping"
2775,shown ,General
2776,warranty card not filled signed seller ,General
2777,purchased apple pencil work product appears intact charged one time not charge placed charging magnet side pad able use pencil not worked since time would not recommend ,"Product Quality, Sales"
2778,product not new advertised,"Product Quality, Marketing"
2779,good delivery took bit time much cheaper online thing sold thousand watson,Shipping
2780,ear voice low microphone quality also bed can use calls,"Customer Service, Product Quality"
2781,pus vantage pus local,General
2782,worst product not received mentioned smell refine used ,"Product Quality, Shipping"
2783,received days order received days dark give delivery time called clot dark well shipping company dark said resolving issue shipping company said deliver turns come no matter draw give time calling sultan service center number free installation per give us offers no one picked call whole day decided install self ,"Customer Service, Shipping, Technical Support, Sales"
2784,not fitted watch,General
2785,small size useful household one scapula used otherwise spoon placing not work ,General
2786,always two things product quality quantity give review product quantity normal customer not know quantity my see picture order extremely small size is is delivery charges purchase cosmetic store nearby,"Product Quality, Shipping, Sales"
2787,not satisfied bluetooth box opened no accessory accessory box empty ,General
2788, love not glowing much ,General
2789,offence customer ga auto ,General
2790,ok market can get less price dark work less prices product shipping otherwise great platform shopping,"Product Quality, Shipping, Marketing, Sales"
2791,product delivered not advertised martin flavor replaced another one otherwise products received genuine new proper packing kindly ask seller update listing per stock available rather sending product choice ,"Product Quality, Shipping, Technical Support, Marketing"
2792,long product and ,Product Quality
2793,limited functions make sure right device bought two versions neither works work either devices,Technical Support
2794,completely useless not even real jeans stuff size really small,General
2795,works fine product quality not good,Product Quality
2796,amazing product years back started using gone earphones since no going back ,Product Quality
2797,whoso great product,Product Quality
2798,ruined skin stop using face axis not ,General
2799,sent wrong product not want black seeds can see order see picture posted product given wrong intentionally ,"Product Quality, Sales"
2800,months not working,Product Quality
2801,poor material poor quality not recommended ,Product Quality
2802,speakers kind weak even bass not strong can not play full volume lot bass music even wires short can move around keeping around lawton desktop pp cost range finest,Sales
2803,useless waste money ,General
2804,damaged sites disappointed low quality plastic ,Product Quality
2805,received late expected item broken damaged ,"Product Quality, Shipping"
2806,bad product,Product Quality
2807,pencil not work charged fine pad never saw returned return lost transit ,General
2808,face ate active one piece shame ,General
2809,got pencil connect bluetooth double click works can not write not working,Product Quality
2810,sale no warranty included price ,Sales
2811,pencil great product game changes people use like reading ton music every day marking scores one single drop floor rehearsal broke tip senior no way repair thing replace cost makes hard pill swallow seeking alternative solution ,"Product Quality, Sales"
2812,useless not recommended ,General
2813,product not mark not get job note not recommended ,Product Quality
2814,okay not good quantities half bottles ,General
2815,ll bit smaller length wise otherwise okay working perfectly hope blue long last,General
2816,received item described no software d manual received product ,"Product Quality, Shipping, Technical Support"
2817,received parcel length way shorter size given chart,Shipping
2818,not connecting mobile useless watch seller not recommended ,General
2819,not received required product also no call attend cotton ear phone not satisfied product ,"Customer Service, Product Quality, Shipping"
2820,not like quality average quality ,Product Quality
2821,ve lower material not like picture cellar fraud not buy store show pictures something send something bad,"Product Quality, Shipping, Sales"
2822,well new apple products not realize labrynthian product release plan across multiple items got apple pencil thinking would compatible latest pad bought latest pad pro regular pad no matter released sorry bought useless piece plastic ever heard apple good support incompatibility ease use guess figured complete lie simply trying figure latest pad legion release generations years associated operation astounding not broad support across release year would call pencil instead pencil pro far fitting way presenting convinced apple intentionally baffled people way labels presents product labels strictly sell stuff can cream pencil pro share blame obviously ridiculous deceptive best ,"Customer Service, Product Quality"
2823,stuff not good can not afford heavyweight although large space rate like not good not bad,Sales
2824,wrong color chosen yellow color send pink color returned nasal tis ,Shipping
2825,star ok ok ha par size torn small ha,General
2826,bad experience not finger wax simple wax face not recommended,General
2827,delivery late not exact she red wanted overall product good ,"Product Quality, Shipping"
2828,battery tidings not good half hour ,General
2829,small size not enough space cut ,General
2830,today got ac installed believe not working way ton ac working barely cooling not sure exactly issue also using ton ac perfect somehow not okay air throw way low regular ton actually causing low cooling even turn settings ,"Product Quality, Technical Support"
2831,bus cheek the,General
2832,basically looks original material lighter checked buttons using phone camera checked to well seems working fine ,"Customer Service, Product Quality"
2833,competing products device would quickly consider evaluation knock replacement none features pen even considered realm competitive biggest problem pen right battery not last long enough can easily drawing writing hours time and knows need case pad available cases make keeping pen charged impossible currently hunt ways charge pen damn need power need bluetooth pen beyond sure correction palm rejection come better low lowered way things plus pen way sang thick tend prefer much finer writing utilities also struggling learning translate style much larger tip not like also pen prices half much current pricepoint feels greedy hoping knock can come implement features correctly would not hold breath ,"Product Quality, Shipping, Technical Support, Sales"
2834,poor sound quality issues mid well battery also very poor not recommended ,"Product Quality, Technical Support"
2835,original product delivery time packing average can improved warranty card available date purchase,"Product Quality, Shipping, Sales"
2836,okay delivered late ,General
2837,outdoor unit not working installation highly disappointed please take back,"Product Quality, Technical Support"
2838,month started delaying games,General
2839,quality packing decent cannot activate airport time left airport senior not working ,Product Quality
2840,not dip mentioned title description dip material cheap plastic okay price not lure customer using face descriptions shopping dark really nice experience delivered within days ,"Product Quality, Sales"
2841,one ear god not working connecting bluetooth please tell fix change please ,Product Quality
2842,delivery perfect quality much poor,"Product Quality, Shipping"
2843,bad experience poor quality airport disappointed going install pp,"Product Quality, Technical Support"
2844,no anti blue light spectrum lenses,General
2845,quality fine,Product Quality
2846,excellent glasses though magnet not powerful enough settle automatically good price seller co operative,"Customer Service, Sales"
2847,working supposed blue not strong use small light weight products ,Product Quality
2848,material not strong gives feeling bursting time,Product Quality
2849,quality cheap,Product Quality
2850,average results fine price,Sales
2851,bare ni cheek i boat problem his ma bare i bus ,Technical Support
2852,received order turning turned stopped working,"Shipping, Sales"
2853,not working hand civic reborn tried andros head unit swell andros phone ,Product Quality
2854,good quality average ,Product Quality
2855,pencil amazing little weeks already worn tip can see underlying metal apple product expensive would expect tip last longer even come replacement figured would replace not nearly soon ,Product Quality
2856,purchased used like new apple pencil ends pencil chewed completely unable used ,Sales
2857,got product day expected delivery date product not work car tooth pass bluetooth conductivity fine however etc not connect ,"Product Quality, Shipping"
2858,not working led movie not supported glasses,"Customer Service, Product Quality"
2859,can not figure working properly not ,General
2860,low quality material high price not recommended air slow disappointed,"Product Quality, Shipping, Sales"
2861,not think works tried twice better go up light whitening things,General
2862,received wrong adapted lights disappointment ,Shipping
2863,pathetic service ordered red colour description page also red sent different colour ,"Customer Service, Sales"
2864,not recipe designs ordered quality covers need improvement quality compared price low,"Product Quality, Sales"
2865,not worth buying no use waste,Sales
2866,smells good lasts hours ,General
2867,item shown pictures works fine ,Product Quality
2868,delivery charges much ,Shipping
2869,received wrong speaker think not stock current product compensation send overall quality speaker good ,"Product Quality, Shipping"
2870,need pen pad use procreate knock off would not compare course sold separately cost way much easily breaks drop thanks apple another oris not replacement extra tips since break ,Sales
2871,used apple pencil gen not work specifically made sure checked new ordering came no wrapping box pencil pencil charged not think much could not get pencil work new pad air gen went best buy bought new apple pencil gen box sealed pencil sealed not charged charging worked great would not awful used actually worked beware slammed price ,"Customer Service, Shipping, Sales"
2872,buttons bit hard not useful permanent wearing steps could taken within specific area ,General
2873,rolled couch owning months stopped working flies expensive item apple could not fix refused replace warranty not cover falls disappointed ,Product Quality
2874,product seems fine okay however yet use check quality per price ,"Product Quality, Sales"
2875,loose packing old stock shame behavior dark,Customer Service
2876,reasonable,General
2877,side bluetooth not working not even working mind,Product Quality
2878,quality ok price want good quality not recommend product ,"Product Quality, Sales"
2879,not working can suggest ,Product Quality
2880,not portable used bottles,General
2881,bad quality never buy ,"Product Quality, Sales"
2882,satisfied time earned become calls ,Customer Service
2883,worst experience ordered st time cheap quality earphone not working opened not buy rd class waste money,"Product Quality, Sales"
2884,shoes fine,General
2885,hard get pencil ,General
2886,please not buy vendor,Sales
2887,really good product not expecting kind great quality watch really good features extremely good packing exceptional good thanks dark thanks seller keep product quality could better not matter low price not built quality always matter light passing screen bands hard price bracket ,"Product Quality, Sales"
2888,like product feel bad see product used already got finger prints tiny scratches although ok product needed like service dark team keep updated parcel suggest ply look cheerfully item sending make sure not dusty used took pictures cleaning still can see marks ,"Customer Service, Product Quality, Shipping, Technical Support"
2889,poor quality voice,Product Quality
2890,product picture catalogue darker received dull color anyway product fine good quality ,"Product Quality, Shipping"
2891,disappointed quality cycle lot scratches quality plastic poor seems like uses break,Product Quality
2892,size small can fit bike d dream,General
2893,buttons pressed quality really low,Product Quality
2894,received timely package good compare results act cheek difference hour checked axis not got difference tested reading got bit confused,Shipping
2895,box good not thing wanted,General
2896,not original product sound quality not good original recommend not buy seller buying pub otherwise ave sound quality within price bracket gone user can observe difference however seller seems nice sent thank note package ,"Product Quality, Shipping, Sales"
2897,read return policy carefully essentially not returnable ,Customer Service
2898,received time quality average no box pack derma roller order another page nice packing box roller proper box lid roller dispose plastic pack no box storage ,"Product Quality, Shipping, Sales"
2899,poor quality not per pictures,Product Quality
2900,product used,Product Quality
2901,audit quality bad not buy ,"Product Quality, Sales"
2902,ordered king size mattress sent queen size waste money,Sales
2903,pen cost apple not research market sad ,"Marketing, Sales"
2904,specific type product can used want relief foot his not used not find useful may find useful way try not expensive,Product Quality
2905,charging not good,General
2906,quality average ,Product Quality
2907,first order really disappointed left side peace work right piece not work ,Sales
2908,product ,Product Quality
2909,material lovely size small side ,Product Quality
2910,normal shampoo,General
2911,tried writing words joke words pad interpreted written maybe keep enters moment value no expensive wish knew worked many reviews ,Sales
2912,bad experience poor quality ,Product Quality
2913,fool stuff h,General
2914,received within time bit expensive per quality,"Product Quality, Shipping"
2915,not like kindly tell return,General
2916,chose wrong product,Product Quality
2917,please not buy product save money send defeated piece blame not connecting properly even not deserve one star rating star rating reviews face family members friends ,"Product Quality, Shipping, Sales"
2918,received parcel thank much beautiful stars sized much short otherwise good experience thank seller twinkling thank dark,Shipping
2919,good price bu easily readable wire,Sales
2920,not buy showed entirely different thing delivered china made capsules months noting water aren vitamin capsules professionalism deliver shown returned product,"Product Quality, Sales"
2921,poor quality size small shown picture,Product Quality
2922,low quality size ,Product Quality
2923,bought apple case apple pencil went put would not fit try take destroyed pencil ,General
2924,pathetic quality low garden stuff quality gone one wash not waste money ,Product Quality
2925,good product sound quality compromised ,Product Quality
2926,overall light effects awesome light cannot stick properly flat surface mentioned pictures light power supply heat quickly,Shipping
2927,slam ordered red colour received black colour already black colour dark kindly guide change colour,"Shipping, Sales"
2928,not you grm rights simple rights ,General
2929,bad quality also not working requested return not come yet ,Product Quality
2930,highly dissatisfied,General
2931,charging pot not available earned,General
2932,apple pencil face not charge magnetic portion not even stick side pad ,General
2933,good products handle small,Product Quality
2934,not not satisfy it,General
2935,different product,Product Quality
2936,received broken cover,"Product Quality, Shipping"
2937,poor post sale support frustration got ac installed not work first no warranty card getting warranty card team not coming fix due internal issues company support company ,"Customer Service, Technical Support"
2938,product good given picture quality normal compare price not expect packing not good product delivered stoper use boxes ,"Product Quality, Sales"
2939,good cannot put heavy items full carry candles zip opening points also not stitched properly lips one use kid overall good light lawn cotton clothes ,Product Quality
2940,expensive quality not good,Product Quality
2941,normal experience quality not god not bad according name quality low not satisfied,Product Quality
2942,battery timing short overall good ,General
2943,product okay,Product Quality
2944,shown not bright night,General
2945,photo taken moments delivery tip not smooth plastic seat defect using pad screen causes light scratches ,Shipping
2946,unable,General
2947,ok,General
2948,returning device seller ,Technical Support
2949,golden wanted silver still pleasurable experience,General
2950,product not fresh taste bitter side ,Product Quality
2951,rise products ,Product Quality
2952,good harsh facial skin give stars,General
2953,return police return regret request beaver delete draw account ,General
2954,light small better buy outside get even better cheaper find high rate,Sales
2955,bad product low quality expire stock disappointed,Product Quality
2956,product received broken not even packed properly least pack properly since breaks easily not pay receive damaged products disappointed literally tape together ,"Product Quality, Shipping"
2957,pathetic quality received day vegetables surely days old,"Product Quality, Shipping"
2958,ordered vs received disappointed ,"Shipping, Sales"
2959,bad quality product ,Product Quality
2960,stick little balanced otherwise works fine ,General
2961,imp thing online market sent product ordered ordered size received professional attitude not recommend,"Product Quality, Shipping, Marketing, Sales"
2962,got mine today box opened none wrapped kind plastic apple pencil clearly used unsatisfactory ,Shipping
2963,said work is not not even work things ,Customer Service
2964,price showing less select item price got increase ,"Product Quality, Sales"
2965,not received parson from shoot,Shipping
2966,serves purpose untidy rough ,General
2967,not good product think prize unfordable not buy professional use practice rough texture canvas also loose fabric,"Product Quality, Sales"
2968,nice headphone range also good gazing product delivered time thanks dark always trust ,Product Quality
2969,received pen go open isn even apple pencil not log anywhere even though came apple pencil box not work pad definitely not worth money ,Shipping
2970,got nd generation pencil new pad mind released used pencil drew pad dam near everyday no issues update happened sudden not work show connected no response screen touch give rest pad forgot pencil turned bluetooth ink many times in glad even though ordered amazon apple still covers year guess ill got store see beware right cause buying pencil not work device work little irritating ,"Customer Service, Technical Support, Sales"
2971,colors note shown white color shirt major dots front side not satisfied,General
2972,sound ok handsome not comfortable wear hard start irritating inside ear love ok not recommended,General
2973,shown well piece tying not much soft ,General
2974,however received one day delay overall good experience,Shipping
2975,c key stopped working months use million key strokes life,General
2976,order tea tree oil serum and tea tree oil small bottle ,Sales
2977,mirror surface develops scratches often clean ,General
2978,order not complete g potatoes missing,Sales
2979,honest not know useful not spouse refused use otherwise described add also received earplugs gift thanks sellers sending earplugs working ,Shipping
2980,product near expire flagship stores type scar seller really disappointed ,Product Quality
2981,look cool sound quality low due less press ,Product Quality
2982,wasted money,General
2983,item okay store owner irresponsible add note send red yellow color owner not read mug even item delivered anyone can see unreal legs ,"Product Quality, Shipping"
2984,weeks pencil stop working fully charged still not work not worth go apple store get real deal ,Sales
2985,mind device can not locate memory speck device hangs frequently software versions not dating totally dissatisfied ,Technical Support
2986,bad quality level pathetic product,Product Quality
2987,bill was k many white black ah the on hi black hi aye in,General
2988,not make mistake made use without screen protector brand new pad within minutes pad screen scratched beyond belief pencil great need protect screen first hopefully helps save someone headache currently experiencing ,"Customer Service, Technical Support, Marketing"
2989,left air bud not working,Product Quality
2990,stuff not good,General
2991,not recommended ordered set reflected order cart single set supplier sent sets charged sets quality product also not shown pictures rd class product,"Product Quality, Sales"
2992,apple pencil works fine noticed tip metal showing scratches across screen use not sure contact get replacement tip ,General
2993,original size pus smaller pick,General
2994,not great break week use stop spinning moment touches teeth,General
2995,cheap quality handfree two sides left bloody face things never buy thing dark last order,"Product Quality, Sales"
2996,quality products received lose packing,"Product Quality, Shipping"
2997,extremely useless bad taste not recommended,General
2998,average quality terms price good ,"Product Quality, Sales"
2999,not receive order received white color order black one disappointed ,"Shipping, Sales"
3000,work little week pair easy apple air th generation battery life excellent died place pencil side abroad shows device no longer shows battery left called apple not much help decided return me one works apple products get pens extra tips amazon ,"Customer Service, Product Quality, Technical Support"
3001,almost good get cheap price,Sales
3002,sent used remote remote stopped working next day,General
3003,one thing really buy apple webster anyway used first generation years practically perfect rarely ever acted however total garage super convenient charge directly onto pad double tap switch pencil fraser super touch constantly getting way another thing cracking absolute trash times using say pencil brush art pp sorts pens apes feature plant pen brush flatten widen like used side real pencil reason even holding pen perfectly upright straight thinks act though planted instead neat straight line get bare thick wobbly lines constantly undo goes every single brush use curses jump side curve goodness knows else not know sort new design feature serves give headache waste time can avoid would not purchase second gen apple pencil first gen need ,"Customer Service, Sales"
3004,strange smell mixture like not like perfume oil,General
3005,trash broke second day,General
3006,leg dan ado no se connect al pad ,General
3007,horrible service almost joints light perfect except ordered beforehand means product not new no lights working ordered joint not expect poor product foot light working feet see images copper joint fine silver joint ordered ,"Customer Service, Product Quality, Sales"
3008,works great status insane ,General
3009,size large oh,General
3010,sound slow request refund payment na one may bazaar away,"Shipping, Sales"
3011,good delivery fast sometimes become hang automatic become stand mode ,Shipping
3012,not received says delivered damn ,Shipping
3013,not son pad air gen ,General
3014,got storage bags nd time order product material improve reasonable rates easy storage save summer clothes zip good material overall good thanks draw,"Product Quality, Sales"
3015,meet all ,General
3016,dear sir give order size received really bad miner axis not hate online shopping ,"Shipping, Sales"
3017,better trimming short fine quality ,Product Quality
3018,started using can say anything results packing really good ,General
3019,potatoes rotten please improve dark otherwise business not permanent without quality service,"Customer Service, Product Quality"
3020,dislike someone selling used items new ones package opened box damaged ,"Product Quality, Shipping"
3021,worst quality micro phone not working ordered pair seriously disappointed,"Product Quality, Sales"
3022,product not half bad damaged really fragile ,Product Quality
3023,got used product somebody already opened apparent colored marks packing lack plastic wrapping quite disappointed apple ,Product Quality
3024,size big size came not come ,General
3025,worst experience ,General
3026,quality not good mentioned advertisement ,"Product Quality, Marketing"
3027,not used yet parcel packing not good,Shipping
3028,seller send vitamin oil rather tea tree oil really disappointed ,Shipping
3029,poor quality not adjustable hand basically hand d c size,"Customer Service, Product Quality"
3030,size mentioned description not fit properly ,General
3031,packing not good come little bit late mouse working well,General
3032,not perform purpose,General
3033,product not shown pictures value money packing good ,"Product Quality, Sales"
3034,good not suitable summer,General
3035,extremely poor quality build lights missing ,Product Quality
3036,delivery time price high smaller size,"Shipping, Sales"
3037,ordered sent wrong size ,Sales
3038,not satisfied product hard like floor seller not answer question chat return request also canceled dark not good place buy expensive product dark team not cooperate ,"Product Quality, Sales"
3039,like good summer season delivery fast ordered yesterday received today quality good issue finger size finger size short ,"Product Quality, Shipping, Technical Support, Sales"
3040,worst built quality ,Product Quality
3041,good price high,Sales
3042,pathetic broken screw non serious seller,Product Quality
3043,ok advertised price ,"Marketing, Sales"
3044,media could not loaded defective item definitely not properly terrified renewed refurbished,Product Quality
3045,ordered black received brown color bad experience,"Shipping, Sales"
3046,not sure yet need ,General
3047,assalam allaikum overall good product packing need improvement jazakallah happy shopping remanded ,Product Quality
3048,look packing no bubble wrap no nothing expects price got offer get job note ,Sales
3049,worst quality improvement desired,Product Quality
3050,waste money kid size vest normally available market us is disappointed delivery time much not worth wait,"Shipping, Marketing"
3051,received time connect installing concerned pp eau can not connect try axis not ,"Shipping, Technical Support"
3052,charging not writing second pencil problem ,Technical Support
3053,worst tea tree oil ever exacerbated acne broke ,General
3054,disappointed seller ordered packs spouse total send pieces pay delivery charges order ,"Shipping, Sales"
3055,looks beautiful real,General
3056,lights not turning ,General
3057,not much extra ordinary effective way people advertised give using last months nothing happened,Marketing
3058,expensive size smaller looks picture would not recommend,General
3059,received good condition time delivery price high product value product worth not is ,"Product Quality, Shipping, Sales"
3060,product date not clear tone leaking inside packed box package arrived broken lid bad packing disappointed ,"Product Quality, Shipping"
3061,strong acid also removed color seller guide need open parts cut damaged part spray weld back avoid damage parts hands burning even gloves floor also burnt white dropped ,Product Quality
3062,mentioned price dark charging mentioned grass time ,Sales
3063,poor quality sad,Product Quality
3064,change items,Product Quality
3065,not work clashes pp whenever plug waste money,General
3066,amazing product little small overall good child room decorations thanks seller dark service ,"Customer Service, Product Quality"
3067,satisfied quality ,Product Quality
3068,one blue missing bad package,Shipping
3069,poor packing bought bottles sent leaned bottles broken caps half shampoo wasted much disappointed,Product Quality
3070,low quality,Product Quality
3071,local those poor stuff soon cheap ,General
3072,got opened packet,General
3073,delivered within time well package voice quality also good good gazing lasted months point wire connection headphone causing trouble ,"Product Quality, Shipping"
3074,works fine tip comes not paying attention slippery pad may want pick couple extra tips break works fine daughter pad air not work cousin older pad pro make sure get right pencil whatever pad not expect work next pad buy ,Sales
3075,requires drilling mentioned description not required ,General
3076, g potato per order not acceptable least mark g limit next time not order happen axis not,Sales
3077,not like much stuff shirt so cheap ,General
3078,little tight however good quality product thanks seller dark results shared use,Product Quality
3079,not shown picture low quality,Product Quality
3080,quality sizes better ,Product Quality
3081,useful product little small handy,Product Quality
3082,low quality product no utility ,Product Quality
3083,good quality packing not good ,Product Quality
3084,package good good experience use,Shipping
3085,bought bought pad april pad fortunately still going strong pencil hand first pencil worked great drew sketches fun times wrote notes noted time however pencil stayed locked spot pad cover not get used every day sometimes would not get used week two several days ago would not connect not show bluetooth connected pad sees not show charge amount went steps apple troubleshooting bust disappointed lasted five months last ditch effort calling apple teach ,Customer Service
3086,sent without box bubble wrap received good twisted pressed condition ,Shipping
3087,not kid wardrobe toy dint recommended not satisfied,General
3088,massage works plugged soon plug stops working not recommended ,General
3089,upper case large close well upon lower case also no screw included closure case,General
3090,well packed light scratches glass frame guess price high product little bit low good product ,"Product Quality, Sales"
3091,mid port not working button disabled port already not picking mid,Product Quality
3092,returned two items pad mixed labels tried contracting pad would not return can return correct facility ,Product Quality
3093,good packing not sure quality cut not installed lights yet hope work properly ,"Product Quality, Technical Support"
3094,pens reported defective masses including one purchased less months ago apparently decided skin level quality control making pens ,"Product Quality, Sales"
3095,mouse moves leave mouse otherwise good ,General
3096,received tis upon removing outer packing surprised see glass broken paid per delivery received not check functionality turning ,"Customer Service, Product Quality, Shipping"
3097,bad quality last time ordered good time everything really bad quality waste money ,"Product Quality, Sales"
3098,got disappointed sent wrong product shown another company bad poor marketing ,"Product Quality, Marketing"
3099,good stuff product shown picture zip quality not good may changed future designs thank much,Product Quality
3100,not work st generation not electric not rechargeable,General
3101,pus not buy guns buying outdoor ,Sales
3102,good still use box not close properly sometimes not charged remits not charging take lot time please work box perfect cheap price ,Sales
3103,order make previous technology even useless apple not allow pencil work older versions pad would not able work vaseline function older technology maddening returned immediately purchased first generation pencil axis not still functions would wonderfully ,Sales
3104,outrageous worst experience quality poor can not use formal platform also third grade leather almost dismantled buckle ,Product Quality
3105,package material spilled inside dark ulcer whole product wasted not even know properly pack ship safely,"Product Quality, Shipping"
3106,good build quality always case apple price purposes useless guess purchased art apes nodules cost extra might use handwriting not natural pen pencil wish not purchased ,"Product Quality, Sales"
3107,bit hard place since wire plug really small also not work normally someone apply pressure wire work kind makes things difficult ,Product Quality
3108,product nice listen carefully not buy sour flavour child not eat sour food cut bought his kiss absolutely hate ,"Customer Service, Product Quality, Sales"
3109,ordered black one sent totally change product ,"Product Quality, Sales"
3110,no apple guarantee product ,Product Quality
3111,getting new apple pencil instead got used apple pencil box opened scratches not tried pencil much not want used one face sell careful ,Customer Service
3112,pencil weeks quit working took couple places looked none knew problem tablet shows pencil connected simply not work,Technical Support
3113,lights blinking tried many things kept blinking can not post video else would showed ,General
3114,sir received order not connecting software given bluetooth turned not axis not think device faulty overall delivery time fast ,"Product Quality, Shipping, Technical Support, Sales"
3115,needed change pencil tip screwed one came pencil no problem could not get others upon closer examination tip pencil inside threads smaller extra tips extra tips threads outside included pick box guessing amazon makes pencils china useless pencil need ,Technical Support
3116,bad product not work properly,Product Quality
3117,little damage pressure also less,General
3118,although received original product good price seller send soap cardboard box rather ulcer soap compressed delivery received good product ,"Product Quality, Shipping, Sales"
3119,good mid not working properly ,Product Quality
3120,touchscreen accuracy rate low due poor tip pencil condition,Sales
3121,shirt size perfect stitching quality average ,Product Quality
3122,pretty look unable not free size fit thin thighs smallish waist medium size usually could not get leg ,General
3123,got board today disappointed board got scratches ,General
3124,really bad quality condition gotten really bad ,Product Quality
3125,nice oatmeal needed sifted thoroughly first,General
3126,poor service delivered late quality bad ,"Customer Service, Product Quality"
3127,received earphones broken extremely disappointed kindly tell procedure exchange ,"Product Quality, Shipping"
3128,face ones not original ones got another seller previously low grade replies not recommend not finger space coiners also poor stitching pathetic non fabric irregular finger shapes ,General
3129,stream cheap quality light brightness always flicked vary not recommend ,Product Quality
3130,sir half damage thanks next time not recommend ,General
3131,good quality stuff it not reflected pick ,Product Quality
3132,shirt normal can buy one time overall decent shirt recommend,Sales
3133,ver bad experience days working,General
3134,font small bag quality okay price range product okay,"Product Quality, Sales"
3135,v good nice product nice packing smaller size less number expected ,Product Quality
3136,positive bought new looks like product someone received returned pencil small went hopefully still works pencil box looks like thrown around warehouse times check disability guess buy directly apple retailer want best looking product ,"Product Quality, Shipping, Sales"
3137,disappointed seller item mount not balanced thus can not mounted wall not recommended,Product Quality
3138,keeps folding not stick heel no benefit ,General
3139,small green color one not glow well ,General
3140,blue weak not worth ,General
3141,came pen free far functional kind disappointed paid ,Customer Service
3142,broken pus cheapness quality,Product Quality
3143,not really anything diluted,General
3144,led lights good length short remote works wildly got anyway good,General
3145,not new pencil box no cellophane protective plastic around pencil obviously taken rendered evidenced fingerprints present box gripped cannot yet test see damaged awaiting new pad pro opened returned however not new condition open not equal new frankly not luxury time return replace professor need item virtual chalk talks ,Product Quality
3146,charged delivery guns claim free delivery items,"Product Quality, Shipping"
3147,not worth money status no use no no less ,General
3148,ordered one works great second one washed arrival despite promises exchanges neither amazon nor apple can process exchange talking credit cardcompany ,Sales
3149,nice product nice packing late delivery shown fully filled bottles ,"Product Quality, Shipping"
3150,quality fine got issue size ordered large size bit tight asked seller change,"Product Quality, Technical Support, Sales"
3151,ordered purple colour received blue colour nonsense ,"Shipping, Sales"
3152,market broken useless us totally waste money,"Product Quality, Marketing"
3153,extremely bad quality glasses not buy glasses is seller sold price is including do,"Product Quality, Sales"
3154,seller sent pus instead ,General
3155,rushed not working wasted money ,Product Quality
3156,demanded colour not provided product satisfactory,Product Quality
3157,bad small wire like seller not worth,General
3158,extremely disappointed opened parcel one upon broken poor quality not shown photo well not said application disappointed dark want full refund hope guns not make excuses comes refund thank ,"Customer Service, Product Quality, Shipping"
3159,shown quality third class ,Product Quality
3160,compared price quality satisfied not good finishing not satisfactory size little bit wider ,"Product Quality, Sales"
3161,box empty not buy ,Sales
3162,quality good delivery charges much ,"Product Quality, Shipping"
3163,not satisfied candy syrupy poured inside nothing special nor recommend,General
